Day,pH,Bean,Germination
3,6.2,1,0
3,6.2,2,0
3,6.2,3,0
3,6.2,4,0
3,6.2,5,0
3,6.6,1,0
3,6.6,2,0
3,6.6,3,0
3,6.6,4,0
3,6.6,5,0
3,7,1,0
3,7,2,0
3,7,3,0
3,7,4,0
3,7,5,0
3,7.2,1,0
3,7.2,2,0
3,7.2,3,0
3,7.2,4,0
3,7.2,5,0
5,6.2,1,1
5,6.2,2,1
5,6.2,3,1
5,6.2,4,0
5,6.2,5,0
5,6.6,1,1
5,6.6,2,0
5,6.6,3,0
5,6.6,4,0
5,6.6,5,0
5,7,1,1
5,7,2,1
5,7,3,1
5,7,4,1
5,7,5,1
5,7.2,1,1
5,7.2,2,1
5,7.2,3,1
5,7.2,4,0
5,7.2,5,1
7,6.2,1,1
7,6.2,2,1
7,6.2,3,1
7,6.2,4,1
7,6.2,5,2
7,6.6,1,1
7,6.6,2,2
7,6.6,3,0
7,6.6,4,2
7,6.6,5,2
7,7,1,1
7,7,2,1
7,7,3,1
7,7,4,1
7,7,5,1
7,7.2,1,1
7,7.2,2,1
7,7.2,3,1
7,7.2,4,2
7,7.2,5,2
9,6.2,1,1
9,6.2,2,1
9,6.2,3,1
9,6.2,4,2
9,6.2,5,2
9,6.6,1,1
9,6.6,2,2
9,6.6,3,2
9,6.6,4,2
9,6.6,5,2
9,7,1,1
9,7,2,1
9,7,3,1
9,7,4,1
9,7,5,1
9,7.2,1,1
9,7.2,2,1
9,7.2,3,1
9,7.2,4,2
9,7.2,5,1
14,6.2,1,1
14,6.2,2,1
14,6.2,3,1
14,6.2,4,2
14,6.2,5,2
14,6.6,1,1
14,6.6,2,2
14,6.6,3,2
14,6.6,4,2
14,6.6,5,2
14,7,1,1
14,7,2,1
14,7,3,1
14,7,4,1
14,7,5,1
14,7.2,1,1
14,7.2,2,1
14,7.2,3,1
14,7.2,4,2
14,7.2,5,1
