lighting(hours):,bean:,day:,growth rate(cm):,growth(cm):
0,1,1,9,9
0,2,1,3,3
0,3,1,11,11
0,4,1,10,10
0,5,1,0,0
0,1,2,5,9
0,2,2,2,4
0,3,2,6,11
0,4,2,13,13
0,5,2,0,0
0,1,3,4,11
0,2,3,5,14
0,3,3,4,12
0,4,3,5,15
0,5,3,1,2
0,1,4,3,13
0,2,4,4,15
0,3,4,3,12
0,4,4,5,18
0,5,4,3,13
0,1,5,3,14
0,2,5,4,20
0,3,5,3,16
0,4,5,4,21
0,5,5,5,23
6,1,1,0,0
6,2,1,0,0
6,3,1,0,0
6,4,1,0,0
6,5,1,0,0
6,1,2,1,1
6,2,2,1,1
6,3,2,0,0
6,4,2,1,1
6,5,2,0,0
6,1,3,0,1
6,2,3,0,1
6,3,3,0,0
6,4,3,1,2
6,5,3,0,0
6,1,4,1,3
6,2,4,1,3
6,3,4,0,0
6,4,4,1,3
6,5,4,0,0
6,1,5,1,4
6,2,5,1,5
6,3,5,0,1
6,4,5,1,5
6,5,5,0,0
9,1,1,0,0
9,2,1,0,0
9,3,1,0,0
9,4,1,0,0
9,5,1,0,0
9,1,2,0,0
9,2,2,0,0
9,3,2,0,0
9,4,2,0,0
9,5,2,0,0
9,1,3,0,1
9,2,3,0,0
9,3,3,0,0
9,4,3,0,0
9,5,3,0,0
9,1,4,0,1
9,2,4,0,0
9,3,4,1,2
9,4,4,0,0
9,5,4,0,1
9,1,5,0,2
9,2,5,0,2
9,3,5,0,2
9,4,5,0,2
9,5,5,1,4
12,1,1,0,0
12,2,1,0,0
12,3,1,0,0
12,4,1,0,0
12,5,1,0,0
12,1,2,0,0
12,2,2,0,0
12,3,2,0,0
12,4,2,0,0
12,5,2,0,0
12,1,3,0,0
12,2,3,0,0
12,3,3,0,0
12,4,3,0,0
12,5,3,0,0
12,1,4,0,1
12,2,4,1,3
12,3,4,0,1
12,4,4,0,1
12,5,4,0,1
12,1,5,0,2
12,2,5,1,4
12,3,5,0,2
12,4,5,0,1
12,5,5,1,3
