Salinity_(%),Day,Bean_ID,Germination
0,3,1,No
0,3,2,No
0,3,3,No
0,3,4,No
0,3,5,No
0,3,6,No
3,3,1,No
3,3,2,No
3,3,3,No
3,3,4,No
3,3,5,No
3,3,6,No
3,3,7,No
5,3,1,No
5,3,2,No
5,3,3,No
5,3,4,No
5,3,5,No
5,3,6,No
5,3,7,No
0,7,1,Yes
0,7,2,Yes
0,7,3,Yes
0,7,4,Yes
0,7,5,Yes
0,7,6,Yes
3,7,1,Yes
3,7,2,Yes
3,7,3,Yes
3,7,4,Yes
3,7,5,Yes
3,7,6,Yes
3,7,7,Yes
5,7,1,Yes
5,7,2,Yes
5,7,3,Yes
5,7,4,Yes
5,7,5,No
5,7,6,Yes
5,7,7,No
0,9,1,Yes
0,9,2,Yes
0,9,3,Yes
0,9,4,Yes
0,9,5,Yes
0,9,6,Yes
3,9,1,Yes
3,9,2,Yes
3,9,3,Yes
3,9,4,Yes
3,9,5,Yes
3,9,6,Yes
3,9,7,Yes
5,9,1,Yes
5,9,2,Yes
5,9,3,Yes
5,9,4,Yes
5,9,5,No
5,9,6,Yes
5,9,7,No
0,14,1,Yes
0,14,2,Yes
0,14,3,Yes
0,14,4,Yes
0,14,5,Yes
0,14,6,Yes
3,14,1,Yes
3,14,2,Yes
3,14,3,Yes
3,14,4,Yes
3,14,5,Yes
3,14,6,Yes
3,14,7,Yes
5,14,1,Yes
5,14,2,Yes
5,14,3,Yes
5,14,4,Yes
5,14,5,No
5,14,6,Yes
5,14,7,No
