Day,pH,Bean,Length(cm)
3,6.2,1,0
3,6.2,2,0
3,6.2,3,0
3,6.2,4,0
3,6.2,5,0
3,6.6,1,0
3,6.6,2,0
3,6.6,3,0
3,6.6,4,0
3,6.6,5,0
3,7,1,0
3,7,2,0
3,7,3,0
3,7,4,0
3,7,5,0
3,7.2,1,0
3,7.2,2,0
3,7.2,3,0
3,7.2,4,0
3,7.2,5,0
5,6.2,1,0.5
5,6.2,2,0.3
5,6.2,3,0.6
5,6.2,4,0
5,6.2,5,0
5,6.6,1,0.1
5,6.6,2,0
5,6.6,3,0
5,6.6,4,0
5,6.6,5,0
5,7,1,0.5
5,7,2,2
5,7,3,0.3
5,7,4,2.3
5,7,5,2.2
5,7.2,1,1.4
5,7.2,2,0.6
5,7.2,3,0.2
5,7.2,4,0
5,7.2,5,0.7
7,6.2,1,0.5
7,6.2,2,1.1
7,6.2,3,0.1
7,6.2,4,0.5
7,6.2,5,0.4
7,6.6,1,0.1
7,6.6,2,0.5
7,6.6,3,0
7,6.6,4,0.5
7,6.6,5,0.9
7,7,1,1
7,7,2,3.7
7,7,3,1.3
7,7,4,4
7,7,5,4.5
7,7.2,1,2.5
7,7.2,2,1.7
7,7.2,3,0.6
7,7.2,4,0.2
7,7.2,5,2.2
9,6.2,1,0.2
9,6.2,2,1.1
9,6.2,3,0.2
9,6.2,4,0.6
9,6.2,5,0.4
9,6.6,1,0.1
9,6.6,2,0.3
9,6.6,3,0
9,6.6,4,0
9,6.6,5,1.8
9,7,1,1.4
9,7,2,3.7
9,7,3,2.5
9,7,4,1.5
9,7,5,6
9,7.2,1,1.5
9,7.2,2,1.4
9,7.2,3,0.6
9,7.2,4,1.1
9,7.2,5,0
14,6.2,1,0.1
14,6.2,2,0.7
14,6.2,3,0
14,6.2,4,0.7
14,6.2,5,0
14,6.6,1,0
14,6.6,2,0.1
14,6.6,3,0
14,6.6,4,0
14,6.6,5,1.6
14,7,1,1.8
14,7,2,3.7
14,7,3,3.5
14,7,4,2.5
14,7,5,7.3
14,7.2,1,0.5
14,7.2,2,1.3
14,7.2,3,0.4
14,7.2,4,0.4
14,7.2,5,0
